카테고리,컨텐츠명,컨텐츠아이콘,최소아이템레벨,위치,시작시간,보상아이템레벨,보상아이템명,보상아이템아이콘,보상아이템등급
로웬,[습격]리베르탄-[점령]-[습격]프라이겔리,https://cdn-lostark.game.onstove.com/efui_iconatlas/achieve/achieve_14_154.png,1445,레갸르방크 대평원,2026-01-07T22:30:00; 2026-01-09T22:30:00; 2026-01-10T20:30:00; 2026-01-11T15:30:00; 2026-01-11T22:30:00; 2026-01-13T20:30:00,0,실마엘 수정,https://cdn-lostark.game.onstove.com/efui_iconatlas/tokenitem/tokenitem_42.png,영웅
로웬,[습격]리베르탄-[점령]-[습격]프라이겔리,https://cdn-lostark.game.onstove.com/efui_iconatlas/achieve/achieve_14_154.png,1445,레갸르방크 대평원,2026-01-07T22:30:00; 2026-01-09T22:30:00; 2026-01-10T20:30:00; 2026-01-11T15:30:00; 2026-01-11T22:30:00; 2026-01-13T20:30:00,0,로웬 세력 경험치,https://cdn-lostark.game.onstove.com/efui_iconatlas/battlefield_entrance/battlefield_entrance_17.png,일반
로웬,[습격]프라이겔리-[점령]-[습격]리베르탄,https://cdn-lostark.game.onstove.com/efui_iconatlas/achieve/achieve_14_153.png,1445,레갸르방크 대평원,2026-01-07T20:30:00; 2026-01-09T20:30:00; 2026-01-10T15:30:00; 2026-01-10T22:30:00; 2026-01-11T20:30:00; 2026-01-13T22:30:00,0,실마엘 수정,https://cdn-lostark.game.onstove.com/efui_iconatlas/tokenitem/tokenitem_42.png,영웅
로웬,[습격]프라이겔리-[점령]-[습격]리베르탄,https://cdn-lostark.game.onstove.com/efui_iconatlas/achieve/achieve_14_153.png,1445,레갸르방크 대평원,2026-01-07T20:30:00; 2026-01-09T20:30:00; 2026-01-10T15:30:00; 2026-01-10T22:30:00; 2026-01-11T20:30:00; 2026-01-13T22:30:00,0,로웬 세력 경험치,https://cdn-lostark.game.onstove.com/efui_iconatlas/battlefield_entrance/battlefield_entrance_17.png,일반
모험 섬,스노우팡 아일랜드,https://cdn-lostark.game.onstove.com/efui_iconatlas/island_icon/island_icon_98.png,250,스노우팡 아일랜드,2026-01-08T11:00:00; 2026-01-08T13:00:00; 2026-01-08T19:00:00; 2026-01-08T21:00:00; 2026-01-08T23:00:00; 2026-01-11T19:00:00; 2026-01-11T21:00:00; 2026-01-11T23:00:00,0,스노우팡 아일랜드 섬의 마음,https://cdn-lostark.game.onstove.com/efui_iconatlas/tokenitem/tokenitem_9.png,유물
모험 섬,스노우팡 아일랜드,https://cdn-lostark.game.onstove.com/efui_iconatlas/island_icon/island_icon_98.png,250,스노우팡 아일랜드,2026-01-08T11:00:00; 2026-01-08T13:00:00; 2026-01-08T19:00:00; 2026-01-08T21:00:00; 2026-01-08T23:00:00; 2026-01-11T19:00:00; 2026-01-11T21:00:00; 2026-01-11T23:00:00,0,즐거운 눈싸움 기념 주머니,https://cdn-lostark.game.onstove.com/efui_iconatlas/use/use_2_8.png,희귀
모험 섬,스노우팡 아일랜드,https://cdn-lostark.game.onstove.com/efui_iconatlas/island_icon/island_icon_98.png,250,스노우팡 아일랜드,2026-01-08T11:00:00; 2026-01-08T13:00:00; 2026-01-08T19:00:00; 2026-01-08T21:00:00; 2026-01-08T23:00:00; 2026-01-11T19:00:00; 2026-01-11T21:00:00; 2026-01-11T23:00:00,0,실링,https://cdn-lostark.game.onstove.com/efui_iconatlas/etc/etc_14.png,일반
모험 섬,스노우팡 아일랜드,https://cdn-lostark.game.onstove.com/efui_iconatlas/island_icon/island_icon_98.png,250,스노우팡 아일랜드,2026-01-08T11:00:00; 2026-01-08T13:00:00; 2026-01-08T19:00:00; 2026-01-08T21:00:00; 2026-01-08T23:00:00; 2026-01-11T19:00:00; 2026-01-11T21:00:00; 2026-01-11T23:00:00,0,골드,https://cdn-lostark.game.onstove.com/efui_iconatlas/money/money_4.png,일반
모험 섬,스노우팡 아일랜드,https://cdn-lostark.game.onstove.com/efui_iconatlas/island_icon/island_icon_98.png,250,스노우팡 아일랜드,2026-01-08T11:00:00; 2026-01-08T13:00:00; 2026-01-08T19:00:00; 2026-01-08T21:00:00; 2026-01-08T23:00:00; 2026-01-11T19:00:00; 2026-01-11T21:00:00; 2026-01-11T23:00:00,0,전설 ~ 고급 카드 팩 III,https://cdn-lostark.game.onstove.com/efui_iconatlas/use/use_10_236.png,전설
모험 섬,스노우팡 아일랜드,https://cdn-lostark.game.onstove.com/efui_iconatlas/island_icon/island_icon_98.png,250,스노우팡 아일랜드,2026-01-08T11:00:00; 2026-01-08T13:00:00; 2026-01-08T19:00:00; 2026-01-08T21:00:00; 2026-01-08T23:00:00; 2026-01-11T19:00:00; 2026-01-11T21:00:00; 2026-01-11T23:00:00,0,전설 ~ 고급 카드 팩 IV,https://cdn-lostark.game.onstove.com/efui_iconatlas/use/use_10_236.png,전설
