카테고리,구성품1,0단계,1단계,2단계,3단계,4단계,5단계,6단계,7단계,8단계,9단계,10단계
기본 보상 상자,운명의 파편,5200,6500,7700,9000,10000,11150,13000,14000,15500,17000,18000
기본 보상 상자,운명의 파괴석 결정,26,32,38,44,52,60,70,80,90,100,110
기본 보상 상자,운명의 수호석 결정,170,200,230,280,330,380,440,500,560,620,680
기본 보상 상자,위대한 운명의 돌파석,4,5,6,7,8,9,10,11,12,13,15
어빌리티 스톤,어빌리티 스톤 키트,8,10,15,20,25,30,45,60,80,120,200
특수 재련,전이 돌파석,24,40,56,70,96,130,180,260,360,500,850
파괴석/수호석,운명의 파괴석 결정,500,600,900,1200,1600,2200,3000,4500,6500,9000,15000
파괴석/수호석,운명의 수호석 결정,1500,1800,2700,3600,4800,6600,9000,13500,19500,27000,45000
고대 팔찌,고대 팔찌,3,5,7,10,15,20,25,35,50,70,120
재련 보조,용암의 숨결,10,15,20,25,36,48,72,96,132,192,320
재련 보조,빙하의 숨결,30,45,60,75,108,144,216,288,396,576,960
운명의 돌,정련된 운명의 돌,7,12,15,18,27,36,54,72,100,150,240
융화 재료,상급 아비도스 융화 재료,60,90,125,150,225,300,450,600,850,1200,2000
돌파석,위대한 운명의 돌파석,25,36,48,64,90,130,190,250,350,500,850
젬 선택,희귀 질서의 젬 선택 상자,,,,,1,2,,2,,,
젬 선택,희귀 혼돈의 젬 선택 상자,,,,,1,2,,2,,,
젬 선택,희귀 젬 선택 상자,3,5,7,,,,,,,,
젬 선택,영웅 젬 선택 상자,,,,1,1,1,2,2,3,4,5
귀속 골드,귀속 골드,4500,7200,9500,12000,16000,22000,32000,45000,65000,95000,130000
천상 도전권,천상 도전권+1,,,,,,2,4,7,10,15,20
