항목명,아이콘 파일명
1레벨 보석 (4T),1레벨_겁화의_보석
갈대 숲의 보물 상자,갈대_숲의_보물_상자
감정표현 공중부양,감정표현_공중부양
감정표현 운기조식,감정표현_운기조식
강태공의 주머니,강태공의_주머니
경험치 카드,경험치_카드
고대 어빌리티 스톤,고대_어빌리티_스톤
고르카그로스 카드,고르카그로스_카드
고요한 안식의 섬의 마음,고요한_안식의_섬의_마음
골드,골드
공허한 미래의 귀걸이,공허한_미래의_귀걸이
공허한 미래의 목걸이,공허한_미래의_목걸이
공허한 미래의 반지,공허한_미래의_반지
공허한 참회의 귀걸이,공허한_참회의_귀걸이
공허한 참회의 반지,공허한_참회의_반지
광분,광분
귀속 골드,귀속_골드
그릇된 욕망의 섬의 마음,그릇된_욕망의_섬의_마음
기회의 섬의 마음,기회의_섬의_마음
달콤살벌 마리오네트 변장도구,달콤살벌_마리오네트_변장도구
담력 증가 물약,담력_증가_물약
대양의 주화,대양의_주화
대양의 주화 상자,대양의_주화_상자
돛문양 유일성,돛문양_유일성
두키 섬의 마음,두키_섬의_마음
두키왕의 의안,두키왕의_의안
두키칼리버,두키칼리버
두키킹 카드,두키킹_카드
라거 인형탈,라거_인형탈
라일라이 아일랜드 섬의 마음,라일라이_아일랜드_섬의_마음
라일라이 아일랜드 축제 기념 상자,라일라이_아일랜드_축제_기념_상자
로웬 세력 경험치,로웬_세력_경험치
마주한 종언의 귀걸이,마주한_종언의_귀걸이
마주한 종언의 목걸이,마주한_종언의_목걸이
마주한 종언의 반지,마주한_종언의_반지
메데이아 섬의 마음,메데이아_섬의_마음
메데이아의 선물,메데이아의_선물
명예의 파편 주머니(대),명예의_파편_주머니(대)
모코콩 아일랜드 섬의 마음,모코콩_아일랜드_섬의_마음
모코콩 아일랜드 주화,모코콩_아일랜드_주화
모험물 남해의 눈,모험물_남해의_눈
모험물 달의 탑,모험물_달의_탑
모험물 의문의 상자,모험물_의문의_상자
모험물 죽은자의 눈,모험물_죽은자의_눈
모험물 해적의 깃발,모험물_해적의_깃발
모험물 해적의 의족,모험물_해적의_의족
모험물 환영 나비,모험물_환영_나비
몬테 섬의 마음,몬테_섬의_마음
몬테섬 참가상,몬테섬_참가상
무릉도원 섬의 마음,무릉도원_섬의_마음
미로 정원 두근두근 상자,미로_정원_두근두근_상자
미지의 섬의 마음,미지의_섬의_마음
버즐링 아일랜드 레이스 코인,버즐링_아일랜드_레이스_코인
버즐링 아일랜드 섬의 마음,버즐링_아일랜드_섬의_마음
변신 레몬색 아기 피냐타,변신_레몬색_아기_피냐타
변신 설탕색 아기 피냐타,변신_설탕색_아기_피냐타
변신 황금색 아기 피냐타,변신_황금색_아기_피냐타
볼라르 섬의 마음,볼라르_섬의_마음
볼라르의 비밀 상자,볼라르의_비밀_상자
봄의 노래,봄의_노래
블루홀 섬의 마음,블루홀_섬의_마음
비밀지도,비밀지도
