구분,이름,난이도,레벨,관문,종류,골드,운명의 파괴석 결정,운명의 수호석 결정,위대한 운명의 돌파석,운명의 파편,야금술 : 쇠락 [16-19],재봉술 : 쇠락 [16-19],야금술 : 업화 [11-14],재봉술 : 업화 [11-14],야금술 : 업화 [15-18],재봉술 : 업화 [15-18],야금술 : 업화 [19-20],재봉술 : 업화 [19-20],장인의 야금술 : 1단계,장인의 재봉술 : 1단계,장인의 야금술 : 2단계,장인의 재봉술 : 2단계,장인의 야금술 : 3단계,장인의 재봉술 : 3단계,장인의 야금술 : 4단계,장인의 재봉술 : 4단계,운명의 돌,전이 돌파석,아크그리드 코어,아그리스의 비늘,알키오네의 눈,베히모스의 비늘,업화의 쐐기돌,카르마의 잔영,낙뢰의뿔,우뢰의 뇌옥,고통의 가시
에픽 레이드,베히모스,노말,1640,1,클리어,2200,42,84,0.4,3000,,,,,,,,,,,,,,,,,,,,,,10,,,,,
에픽 레이드,베히모스,노말,1640,1,더보기,-720,48,96,1.4,1620,,,,,,,,,,,,,,,,,,,,,,10,,,,,
에픽 레이드,베히모스,노말,1640,2,클리어,5000,54,108,0.6,4000,0.25,0.75,,,,,,,,,,,,,,,3,1.8,,,,20,,,,,
에픽 레이드,베히모스,노말,1640,2,더보기,-1630,92,184,4,2990,,,,,,,,,,,,,,,,,,1.4,,,,20,,,,,
카제로스 레이드,서막 (에키드나),노말,1620,1,클리어,1900,16,32,0.2,1800,,,,,,,,,,,,,,,,,,,,3,,,,,,,
카제로스 레이드,서막 (에키드나),노말,1620,1,더보기,-310,18,36,0.4,1320,,,,,,,,,,,,,,,,,,,,3,,,,,,,
카제로스 레이드,서막 (에키드나),노말,1620,2,클리어,4200,22,44,0.2,2100,0.25,0.75,,,,,,,,,,,,,,,2,0.2,,6,,,,,,,
카제로스 레이드,서막 (에키드나),노말,1620,2,더보기,-700,32,64,0.6,1900,,,,,,,,,,,,,,,,,,0.2,,6,,,,,,,
카제로스 레이드,서막 (에키드나),하드,1640,1,클리어,2200,40,80,0.4,2700,,,,,,,,,,,,,,,,,,,,,3,,,,,,
카제로스 레이드,서막 (에키드나),하드,1640,1,더보기,-720,48,96,1.4,1620,,,,,,,,,,,,,,,,,,,,,3,,,,,,
카제로스 레이드,서막 (에키드나),하드,1640,2,클리어,5000,52,104,0.6,3800,0.25,0.75,,,,,,,,,,,,,,,3,1.4,,,6,,,,,,
카제로스 레이드,서막 (에키드나),하드,1640,2,더보기,-1630,92,184,4,2990,,,,,,,,,,,,,,,,,,1.2,,,6,,,,,,
카제로스 레이드,1막 (에기르),노말,1660,1,클리어,3500,96,192,0.8,3600,,,,,,,,,,,,,,,,,,,,,,,4,,,,
카제로스 레이드,1막 (에기르),노말,1660,1,더보기,-750,62,124,1.6,2800,,,,,,,,,,,,,,,,,,,,,,,4,,,,
카제로스 레이드,1막 (에기르),노말,1660,2,클리어,8000,116,232,1,4400,0.25,0.75,,,,,,,,,,,,,,,4,1.8,,,,,6,,,,
카제로스 레이드,1막 (에기르),노말,1660,2,더보기,-1780,92,184,3,4480,,,,,,,,,,,,,,,,,,1.4,,,,,6,,,,
카제로스 레이드,1막 (에기르),하드,1680,1,클리어,5500,116,232,1.2,4200,,,,,,,,,,,,,,,,,,,,,,,8,,,,
카제로스 레이드,1막 (에기르),하드,1680,1,더보기,-1820,122,244,3.6,5280,,,,,,,,,,,,,,,,,,,,,,,8,,,,
카제로스 레이드,1막 (에기르),하드,1680,2,클리어,12500,132,264,1.4,5400,0.25,0.75,,,,,,,,,,,,,,,5,2.4,,,,,12,,,,
카제로스 레이드,1막 (에기르),하드,1680,2,더보기,-4150,188,376,6.2,8930,,,,,,,,,,,,,,,,,,1.8,,,,,12,,,,
카제로스 레이드,2막 (아브렐슈드),노말,1670,1,클리어,5500,108,216,1,4000,,,,,,,,,,,,,,,,,,,,,,,,4,,,
카제로스 레이드,2막 (아브렐슈드),노말,1670,1,더보기,-1820,122,244,2.6,5220,,,,,,,,,,,,,,,,,,,,,,,,4,,,
카제로스 레이드,2막 (아브렐슈드),노말,1670,2,클리어,11000,128,256,1.2,4600,0.25,0.75,,,,,,,,,,,,,,,4,2.2,,,,,,6,,,
카제로스 레이드,2막 (아브렐슈드),노말,1670,2,더보기,-3720,162,324,4.2,8060,,,,,,,,,,,,,,,,,,1.4,,,,,,6,,,
카제로스 레이드,2막 (아브렐슈드),하드,1690,1,클리어,7500,128,256,1.4,4600,,,,,,,,,,,,,,,,,,,,,,,,8,,,
카제로스 레이드,2막 (아브렐슈드),하드,1690,1,더보기,-2400,144,288,6,6000,,,,,,,,,,,,,,,,,,,,,,,,8,,,
카제로스 레이드,2막 (아브렐슈드),하드,1690,2,클리어,15500,140,280,1.6,6000,,,0.25,0.75,,,,,,,,,,,,,6,2.6,,,,,,12,,,
카제로스 레이드,2막 (아브렐슈드),하드,1690,2,더보기,-5100,264,528,10,10590,,,,,,,,,,,,,,,,,,1.8,,,,,,12,,,
카제로스 레이드,3막 (모르둠),노말,1680,1,클리어,4000,64,128,0.8,2600,,,,,,,,,,,,,,,,,,,,,,,,,3,,
카제로스 레이드,3막 (모르둠),노말,1680,1,더보기,-1300,78,200,2.4,3680,,,,,,,,,,,,,,,,,,,,,,,,,3,,
카제로스 레이드,3막 (모르둠),노말,1680,2,클리어,7000,80,160,0.8,3000,,,,,,,,,,,,,,,,,,,,,,,,,5,,
카제로스 레이드,3막 (모르둠),노말,1680,2,더보기,-2350,106,248,3,4750,,,,,,,,,,,,,,,,,,,,,,,,,5,,
카제로스 레이드,3막 (모르둠),노말,1680,3,클리어,10000,104,208,1.2,4200,,,,,,,,,0.25,0.75,,,,,,,5,2.2,,,,,,,10,,
카제로스 레이드,3막 (모르둠),노말,1680,3,더보기,-3360,156,336,4.2,6810,,,,,,,,,,,,,,,,,,1.4,,,,,,,10,,
카제로스 레이드,3막 (모르둠),하드,1700,1,클리어,5000,88,176,1.2,3400,,,,,,,,,,,,,,,,,,,,,,,,,,3,
카제로스 레이드,3막 (모르둠),하드,1700,1,더보기,-1650,120,240,4.6,5000,,,,,,,,,,,,,,,,,,,,,,,,,,3,
카제로스 레이드,3막 (모르둠),하드,1700,2,클리어,8000,104,208,1.2,4000,,,,,,,,,,,,,,,,,,,,,,,,,,5,
카제로스 레이드,3막 (모르둠),하드,1700,2,더보기,-2640,166,332,5.4,7200,,,,,,,,,,,,,,,,,,,,,,,,,,5,
카제로스 레이드,3막 (모르둠),하드,1700,3,클리어,14000,128,256,1.6,5600,,,,,,,,,,,0.25,0.75,,,,,7,3,,,,,,,,10,
카제로스 레이드,3막 (모르둠),하드,1700,3,더보기,-4060,292,584,9,11760,,,,,,,,,,,,,,,,,,2,,,,,,,,10,
카제로스 레이드,4막 (아르모체),노말,1700,1,클리어,12500,164,328,1.8,5400,,,,,,,,,,,,,,,,,,,1,,,,,,,,
카제로스 레이드,4막 (아르모체),노말,1700,1,더보기,-4000,280,560,8.8,11880,,,,,,,,,,,,,,,,,,,1,,,,,,,,
카제로스 레이드,4막 (아르모체),노말,1700,2,클리어,20500,192,384,2.4,6800,,,,,,,,,,,0.25,0.75,,,,,7,3,1,,,,,,,,
카제로스 레이드,4막 (아르모체),노말,1700,2,더보기,-6560,480,960,15.6,20160,,,,,,,,,,,,,,,,,,2,1,,,,,,,,
카제로스 레이드,4막 (아르모체),하드,1720,1,클리어,15000,196,392,2.2,6800,,,,,,,,,,,,,,,,,,,1,,,,,,,,
카제로스 레이드,4막 (아르모체),하드,1720,1,더보기,-4800,336,672,10.6,14250,,,,,,,,,,,,,,,,,,,1,,,,,,,,
카제로스 레이드,4막 (아르모체),하드,1720,2,클리어,27000,230,460,3.2,8600,,,,,0.25,0.75,,,,,,,,,,,9,3.8,1,,,,,,,,
카제로스 레이드,4막 (아르모체),하드,1720,2,더보기,-8640,576,1152,18.8,24200,,,,,,,,,,,,,,,,,,2.6,1,,,,,,,,
카제로스 레이드,종막 (카제로스),노말,1710,1,클리어,14000,176,352,2.4,6200,,,,,,,,,,,,,,,,,,,2,,,,,,,,
카제로스 레이드,종막 (카제로스),노말,1710,1,더보기,-4480,322,644,10,13650,,,,,,,,,,,,,,,,,,,2,,,,,,,,
카제로스 레이드,종막 (카제로스),노말,1710,2,클리어,26000,220,440,3,7900,,,,,0.25,0.75,,,,,,,,,,,8,3.4,2,,,,,,,,
카제로스 레이드,종막 (카제로스),노말,1710,2,더보기,-8320,552,1104,18,23200,,,,,,,,,,,,,,,,,,2.4,2,,,,,,,,
카제로스 레이드,종막 (카제로스),하드,1730,1,클리어,17000,385,770,7,8300,,,,,,,,,,,,,,,,,,,2,,,,,,,,
카제로스 레이드,종막 (카제로스),하드,1730,1,더보기,-5440,750,1500,30,17500,,,,,,,,,,,,,,,,,,,2,,,,,,,,
카제로스 레이드,종막 (카제로스),하드,1730,2,클리어,35000,475,950,10,10100,,,,,,,0.25,0.75,,,,,,,,,10,5,2,,,,,,,,
카제로스 레이드,종막 (카제로스),하드,1730,2,더보기,-11200,1320,2640,50,29800,,,,,,,,,,,,,,,,,,4,2,,,,,,,,
그림자 레이드,세르카,노말,1710,1,클리어,14000,176,352,2.4,6200,,,,,,,,,,,,,,,,,,,2,,,,,,,,
그림자 레이드,세르카,노말,1710,1,더보기,-4480,322,644,10,13650,,,,,,,,,,,,,,,,,,,2,,,,,,,,
그림자 레이드,세르카,노말,1710,2,클리어,21000,220,440,3,7900,,,,,,,,,,,,,0.25,0.75,,,8,3.4,2,,,,,,,,
그림자 레이드,세르카,노말,1710,2,더보기,-6720,496,992,16.4,20880,,,,,,,,,,,,,,,,,,2.4,2,,,,,,,,
그림자 레이드,세르카,하드,1730,1,클리어,17500,385,770,7,8300,,,,,,,,,,,,,,,,,,,2,,,,,,,,10
