구분,이름,난이도,관문,보상,골드,운명의 파괴석,운명의 수호석,운명의 파괴석 결정,운명의 수호석 결정,운명의 돌파석,위대한 운명의 돌파석,운명의 파편,야금술 : 쇠락 [16-19],재봉술 : 쇠락 [16-19],야금술 : 업화 [11-14],재봉술 : 업화 [11-14],야금술 : 업화 [15-18],재봉술 : 업화 [15-18],야금술 : 업화 [19-20],재봉술 : 업화 [19-20],장인의 야금술 : 1단계,장인의 재봉술 : 1단계,장인의 야금술 : 2단계,장인의 재봉술 : 2단계,장인의 야금술 : 3단계,장인의 재봉술 : 3단계,장인의 야금술 : 4단계,장인의 재봉술 : 4단계,운명의 돌,순환 돌파석,전이 돌파석,아그리스의 비늘,알키오네의 눈,베히모스의 비늘,업화의 쐐기돌,카르마의 잔영,낙뢰의뿔,우뢰의 뇌옥,고통의 가시
에픽 레이드,베히모스,노말,1,클리어,2200,210,420,,,2,,3000,,,,,,,,,,,,,,,,,,,,,,10,,,,,
에픽 레이드,베히모스,노말,1,더보기,-720,240,480,,,7,,1620,,,,,,,,,,,,,,,,,,,,,,10,,,,,
에픽 레이드,베히모스,노말,2,클리어,5000,270,540,,,3,,4000,0.25,0.75,,,,,,,,,,,,,,,3,9,,,,20,,,,,
에픽 레이드,베히모스,노말,2,더보기,-1630,460,920,,,20,,2990,,,,,,,,,,,,,,,,,,7,,,,20,,,,,
카제로스 레이드,서막 (에키드나),노말,1,클리어,1900,80,160,,,1,,1800,,,,,,,,,,,,,,,,,,,,3,,,,,,,
카제로스 레이드,서막 (에키드나),노말,1,더보기,-310,90,180,,,2,,1320,,,,,,,,,,,,,,,,,,,,3,,,,,,,
카제로스 레이드,서막 (에키드나),노말,2,클리어,4200,110,220,,,1,,2100,0.25,0.75,,,,,,,,,,,,,,,2,1,,6,,,,,,,
카제로스 레이드,서막 (에키드나),노말,2,더보기,-700,160,320,,,3,,1900,,,,,,,,,,,,,,,,,,1,,6,,,,,,,
카제로스 레이드,서막 (에키드나),하드,1,클리어,2200,200,400,,,2,,2700,,,,,,,,,,,,,,,,,,,,,3,,,,,,
카제로스 레이드,서막 (에키드나),하드,1,더보기,-720,240,480,,,7,,1620,,,,,,,,,,,,,,,,,,,,,3,,,,,,
카제로스 레이드,서막 (에키드나),하드,2,클리어,5000,260,520,,,3,,3800,0.25,0.75,,,,,,,,,,,,,,,3,7,,,6,,,,,,
카제로스 레이드,서막 (에키드나),하드,2,더보기,-1630,460,920,,,20,,2990,,,,,,,,,,,,,,,,,,6,,,6,,,,,,
카제로스 레이드,1막 (에기르),노말,1,클리어,3500,480,960,,,4,,3600,,,,,,,,,,,,,,,,,,,,,,,4,,,,
카제로스 레이드,1막 (에기르),노말,1,더보기,-750,310,620,,,8,,2800,,,,,,,,,,,,,,,,,,,,,,,4,,,,
카제로스 레이드,1막 (에기르),노말,2,클리어,8000,580,1160,,,5,,4400,0.25,0.75,,,,,,,,,,,,,,,4,9,,,,,6,,,,
카제로스 레이드,1막 (에기르),노말,2,더보기,-1780,460,920,,,15,,4480,,,,,,,,,,,,,,,,,,7,,,,,6,,,,
카제로스 레이드,1막 (에기르),하드,1,클리어,5500,580,1160,,,6,,4200,,,,,,,,,,,,,,,,,,,,,,,8,,,,
카제로스 레이드,1막 (에기르),하드,1,더보기,-1820,610,1220,,,18,,5280,,,,,,,,,,,,,,,,,,,,,,,8,,,,
카제로스 레이드,1막 (에기르),하드,2,클리어,12500,660,1320,,,7,,5400,0.25,0.75,,,,,,,,,,,,,,,5,12,,,,,12,,,,
