목표 재련수치,12,13,14,15,16,17,18,19,20,21,22,23,24,25
아이템 레벨,1735,1740,1745,1750,1755,1760,1765,1770,1775,1780,1785,1790,1795,1800
운명의 파편 (경험치),57000,63000,70000,76000,83000,90000,98000,10500,112000,120000,128000,136000,144000,152000
운명의 파괴석 결정,1700,1890,2080,2270,2460,2690,2900,3110,3340,3570,3800,4030,4260,4500
위대한 운명의 돌파석,17,19,21,23,35,28,30,32,34,37,39,42,44,47
상급 아비도스 융화 재료,18,21,23,25,27,29,32,34,37,39,42,44,47,50
운명의 파편,15890,17660,19420,21190,22960,25120,27080,29040,31200,33360,35520,37680,39840,42000
골드,4050,4500,4950,5400,5850,6400,6900,7400,7950,8500,9050,9600,10150,10700
실링,22000,22000,22000,22000,22000,26000,26000,26000,36000,36000,48000,48000,60000,60000
용암의 숨결,20,20,20,20,20,25,25,25,25,25,25,25,50,50
,,,,,,,,,,,,,,
기본 성공률,5,5,4,4,4,3,3,3,1.5,1.5,1,1,0.5,0.5
