항목명,단위타입,단위가치,비고
전설 카드팩 (확률),크리스탈,575,
고결한 혼돈의 돌(무기) (품질 90기준),골드,117647,
고결한 혼돈의 돌(무기) (품질 95기준),골드,266667,
고결한 혼돈의 돌(방어구) (품질 90기준),골드,44118,
고결한 혼돈의 돌(방어구) (품질 95기준),골드,100000,
고대 팔찌 (지옥),골드,1500,
공명의 기운 회복 비약,골드,1084.4823000000001,1720 네프타 2작전
광택시약,골드,,
도약의 정수,골드,,
순환 돌파석,골드,,재련 효율 상위 5개 평균
어빌리티 스톤 키트 (지옥),골드,,크리스탈 환율 정보 없음
염색시약,골드,,
영웅 지옥 열쇠 I,골드,95570.80454545452,지옥1 6단계 기대값
영웅 지옥 열쇠 II,골드,98441.329090909,지옥2 6단계 기대값
영웅 지옥 열쇠 III,골드,133994.32750000004,지옥3 6단계 기대값
요즈의 항아리 : 영원,골드,,
전설 나락의 서리 열쇠 I,골드,160148.05714285708,나락1 2단계 기대값
전설 나락의 서리 열쇠 II,골드,167543.70238095237,나락2 2단계 기대값
전설 나락의 서리 열쇠 III,골드,242773.8869047619,나락3 2단계 기대값
전설 나락의 화염 열쇠 I,골드,160148.05714285708,나락1 2단계 기대값
전설 나락의 화염 열쇠 II,골드,167543.70238095237,나락2 2단계 기대값
전설 나락의 화염 열쇠 III,골드,242773.8869047619,나락3 2단계 기대값
전설 지옥 열쇠 I,골드,127364.10303030297,지옥1 7단계 기대값
전설 지옥 열쇠 II,골드,131509.65090909094,지옥2 7단계 기대값
전설 지옥 열쇠 III,골드,179388.27000000005,지옥3 7단계 기대값
전설 카드 선택팩,골드,,
전설~고급 카드팩,골드,,
전설~영웅 카드팩,골드,,
전설~희귀 카드팩,골드,,
전체 카드팩,골드,,
정련된 운명의 돌,골드,1000,
정련된 혼돈의 돌(무기),골드,800,
정련된 혼돈의 돌(방어구),골드,300,
정련된 혼돈의(무기),골드,800,
정련된 혼돈의(방어구),골드,300,
젬 가공 초기화권,골드,,
중급 생기 회복물약,골드,,
초급 생기 회복물약,골드,,
크리스탈,골드,,크리스탈 골드 환율 정보 없음
패턴시약,골드,,
페온,골드,,
펫 효과 / 지원효과 14일,골드,,
펫 효과 / 지원효과 30일,골드,,
휴식 게이지 회복 비약,골드,1084.4823000000001,1720 네프타 2작전
희귀 지옥 열쇠 I,골드,63650.2333333333,지옥1 5단계 기대값
희귀 지옥 열쇠 II,골드,65627.55272727275,지옥2 5단계 기대값
희귀 지옥 열쇠 III,골드,90287.88500000002,지옥3 5단계 기대값
메넬리크의 서,현금,1633.5,
실링,현금,0.0010456,
영겁의 정수,현금,272.25,
영혼의 잎사귀,현금,90.75,
카드경험치 1당,현금,0.1815,메넬리크의 서 현금 가격 / 9000 (환율 정보 없음)
태초의 조각,현금,544.5,
1레벨 보석 (4T),,,
8레벨 보석 (4T),,,
고급 젬,,,
빙하의 숨결,,,
아비도스 융화 재료,,,
야금술 : 업화 [11-14],,,
야금술 : 업화 [15-18],,,
야금술 : 업화 [19-20],,,
에브니 큐브 입장권 (1해금),,,
에브니 큐브 입장권 (2해금),,,
에브니 큐브 입장권 (3해금),,,
에브니 큐브 입장권 (4해금),,,
영웅 젬,,,
용암의 숨결,,,
운명의 돌파석,,,
운명의 수호석,,,
운명의 파괴석,,,
운명의 파편 1개당,,,
운명의 파편 주머니(대),,,
운명의 파편 주머니(소),,,
운명의 파편 주머니(중),,,
유물 각인서 랜덤,,,
유물 각인서 선택,,,
장인의 야금술 : 1단계,,,
장인의 야금술 : 2단계,,,
장인의 야금술 : 3단계,,,
장인의 야금술 : 4단계,,,
장인의 재봉술 : 1단계,,,
장인의 재봉술 : 2단계,,,
장인의 재봉술 : 3단계,,,
장인의 재봉술 : 4단계,,,
재봉술 : 업화 [11-14],,,
재봉술 : 업화 [15-18],,,
재봉술 : 업화 [19-20],,,
희귀 젬,,,
